item,easy,target_disc,nuisance_disc
1,2.522,1,0.4
2,1.902,1,0.4
3,1.351,1,0.4
4,1.092,1,0
5,0.234,1,0
6,0.317,1,0
7,-0.037,1,0
8,-0.268,1,0
